Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
2	22	4982	1806	13.454	15.62	152.5	40.601	0.64920425	0.0057951827	0.34430957	0.000690988
2	29	371	1498	11.0	16.0	128.5	90.0	0.9442705	0.000722874	0.054871377	0.00013530022
2	23	719	1743	44.814	46.586	1545.0	11.31	0.17329964	0.7939409	0.0052641146	0.02749536
2	66	1622	341	25.0	110.0	2010.5	90.0	0.014906967	0.017775375	0.960492	0.006825701
2	25	2935	1652	10.308	16.348	118.5	23.962	0.839998	0.0048176134	0.15487228	0.0003121108
2	19	1893	1948	19.0	20.0	291.0	90.0	0.84209216	0.0026831615	0.1550343	0.00019032117
2	27	4580	1542	29.0	42.0	922.5	0.0	0.64396864	0.3206814	0.032610334	0.0027396188
2	67	628	242	13.647	34.297	290.5	7.765	0.6301016	0.0041647567	0.3651154	0.00061822997
2	65	1237	313	14.0	14.0	150.5	90.0	0.9226398	0.0002810801	0.07687277	0.00020637718
2	68	5229	231	46.425	54.939	1772.5	48.814	0.8315832	0.055672847	0.11046402	0.0022798409
2	44	1096	1013	15.042	16.621	192.0	21.801	0.8158709	0.01891684	0.16386905	0.0013432803
2	53	4676	841	19.0	24.0	340.0	90.0	0.651083	0.007964279	0.3401517	0.0008010118
2	7	3022	2548	13.0	45.0	430.5	90.0	0.56083685	0.13645557	0.29771352	0.0049940334
2	17	4792	1965	14.0	22.0	185.0	90.0	0.60565513	0.00654231	0.38750783	0.00029462797
2	16	4669	1966	7.0	30.0	139.0	90.0	0.7620194	0.005059723	0.23259969	0.00032122456
2	35	343	1279	12.0	15.0	104.0	90.0	0.84498525	0.0001963988	0.15469222	0.0001261653
2	55	1055	682	24.021	83.096	1489.5	2.862	0.053750206	0.0046249055	0.9384948	0.0031300662
2	8	476	2412	19.105	82.134	1149.0	48.013	0.12115728	0.034260806	0.81043446	0.034147467
2	2	2863	2773	11.413	53.677	421.5	27.979	0.09491431	0.054396845	0.84725463	0.0034341868
2	54	2928	778	8.944	29.069	169.5	63.435	0.55397284	0.023819294	0.42195126	0.00025658496
2	50	2290	934	10.0	75.213	352.5	35.538	0.0068964628	0.16070005	0.8087981	0.023605429
2	15	2101	2104	42.362	73.936	2020.0	78.69	0.31666654	0.020621946	0.6520662	0.0106453365
2	58	4361	626	23.345	41.593	595.0	10.008	0.65804505	0.0020031207	0.33917195	0.0007798668
2	4	4375	2631	12.104	24.3	181.0	53.13	0.66124445	0.009521175	0.32892773	0.00030668452
2	5	5026	2612	26.077	42.107	650.0	4.086	0.33813635	0.0024109972	0.6589858	0.00046676086
2	40	3362	1157	10.112	45.774	333.5	83.157	0.22733201	0.030681014	0.741485	0.0005019809
2	64	1298	384	18.0	20.0	254.5	90.0	0.9121655	0.0010861243	0.08657741	0.00017090418
2	48	641	981	25.807	70.605	1322.0	37.569	0.16134289	0.03791857	0.79611313	0.004625411
2	1	5241	2928	23.648	83.918	1528.5	75.964	0.196949	0.0027730507	0.79880273	0.0014751682
2	45	4911	994	24.885	41.319	743.5	68.199	0.674684	0.008698123	0.3158165	0.0008014015
2	57	4594	655	8.944	20.125	121.5	26.565	0.44058567	0.0028208953	0.5540673	0.0025261166
2	62	1191	426	8.0	15.0	96.0	90.0	0.6651382	0.0021822865	0.33208466	0.0005948819
2	69	809	81	15.0	28.0	196.5	90.0	0.51647	0.00031330806	0.48281682	0.00039981346
2	31	5379	1382	20.156	42.793	378.5	43.363	0.75458014	0.0012213873	0.24366753	0.0005309405
2	73	5358	2415	9.618	17.219	105.0	63.435	0.80780405	0.003826455	0.18801558	0.00035393072
2	74	3496	1480	7.071	24.515	110.5	78.69	0.73953927	0.004481694	0.25555515	0.0004238601
2	75	4705	1067	19.416	30.594	355.0	11.31	0.753645	0.0071802186	0.23866765	0.00050702895
2	76	1417	1039	22.136	22.136	321.5	18.435	0.930729	0.061456807	0.0073412517	0.00047305637
2	77	4807	1040	52.24	93.434	3552.5	84.472	0.24593554	0.0072264257	0.7423472	0.004490779
