Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
2	8	476	2878	7.28	21.84	95.5	15.945	0.979231	0.00060930697	0.020036558	0.00012313164
2	35	4652	1896	13.0	18.0	172.0	90.0	0.99358255	0.00057503674	0.005774666	6.777815e-05
2	78	2500	191	12.0	16.0	144.0	90.0	0.81530225	0.00094209024	0.183473	0.00028265562
2	32	1391	1962	20.0	22.0	335.0	90.0	0.9994004	0.00052292197	6.5084954e-05	1.16080755e-05
2	58	4433	1173	8.0	18.0	107.0	90.0	0.7001032	0.0023053465	0.29723027	0.0003611977
2	33	1889	1960	13.73	42.172	432.5	10.784	0.42833877	0.5569795	0.012504944	0.0021767325
2	7	5388	2889	20.248	26.627	366.5	33.69	0.8717904	0.0007995063	0.12726557	0.00014454674
2	56	4523	1337	31.662	83.585	1582.5	74.181	0.062161066	0.15579545	0.4869802	0.29506326
2	6	4471	2916	14.431	58.209	646.0	14.036	0.45085034	0.06426554	0.4689224	0.01596177
2	10	1029	2842	34.015	49.041	1045.5	2.203	0.81290287	0.1848843	0.0017333361	0.00047947315
2	15	524	2565	27.336	31.627	610.0	39.472	0.56911016	0.01200356	0.41810465	0.00078166014
2	41	4756	1709	9.0	12.0	93.5	90.0	0.82618845	0.0016145897	0.17207697	0.000119969765
2	40	989	1760	12.0	15.0	131.0	90.0	0.8401474	0.0016577975	0.15810399	9.0761394e-05
2	22	1040	2425	10.0	16.0	124.5	90.0	0.8252891	0.0009094492	0.17355686	0.00024457098
2	50	4918	1560	20.616	24.839	372.0	39.806	0.28924412	0.0020070905	0.7078785	0.00087035703
2	63	1740	972	101.52	516.041	5987.0	0.677	0.0015585667	0.00012714858	0.41140947	0.5869048
2	25	2272	2350	26.5	153.435	1286.0	57.995	0.0031686788	0.000402523	0.07297455	0.9234543
2	43	1791	1702	6.946	37.646	115.5	59.036	0.2891786	0.003494444	0.6899378	0.01738917
2	69	1203	529	15.338	24.52	184.0	19.983	0.5240437	0.004139934	0.4714528	0.00036359017
2	42	4841	1703	18.608	29.21	286.0	6.71	0.8629572	0.0005369412	0.13635865	0.00014729035
2	13	585	2662	19.235	33.121	351.5	62.447	0.44812483	0.00082758575	0.5507605	0.00028712538
2	34	505	1899	11.314	20.518	118.5	45.0	0.94305825	0.00080985273	0.055966225	0.00016563613
2	3	839	2976	13.601	20.0	111.5	53.13	0.6308762	0.0029390552	0.36575028	0.0004345005
2	49	5025	1572	14.849	17.678	109.0	45.0	0.75320923	0.0022262582	0.24415845	0.00040612812
2	5	4841	2961	10.7	16.508	116.0	36.87	0.720835	0.00025079297	0.2786763	0.00023800839
2	26	803	2281	14.0	22.0	165.5	90.0	0.96647334	0.001233782	0.032245997	4.678982e-05
2	24	847	2386	16.711	35.85	297.0	49.399	0.6535395	0.013387136	0.33199513	0.0010781925
2	47	389	1676	23.0	26.0	467.0	90.0	0.75024784	0.24814415	0.00042968933	0.0011783749
2	60	4752	1105	10.259	17.357	105.0	48.013	0.9354305	0.0012334794	0.062978014	0.0003580211
2	62	1105	1106	10.0	12.0	98.5	90.0	0.8511852	0.0005767891	0.14814405	9.3909555e-05
2	82	5128	2881	15.207	19.729	195.0	81.87	0.8510838	0.00015704725	0.14866278	9.634555e-05
2	83	845	2008	20.1	27.074	187.0	4.399	0.7534504	0.003035665	0.24311286	0.00040107273
2	84	5030	1816	21.077	31.197	215.5	21.801	0.8997838	0.00061317335	0.099359386	0.00024364231
2	85	702	1665	11.18	17.889	104.0	63.435	0.5658205	0.0024241095	0.4313092	0.00044623463
2	86	4852	1439	40.355	63.376	1656.5	56.31	0.9397876	0.049421888	0.007485419	0.003305121
2	87	399	1401	12.379	18.062	113.0	48.013	0.5419594	0.0023659547	0.45484948	0.00082507666
2	88	2170	1380	37.232	88.579	2011.0	67.834	0.6037366	0.0008567224	0.3945147	0.0008920133
2	89	971	1289	9.0	15.0	96.0	90.0	0.6307089	0.00015672634	0.36878952	0.0003448246
2	90	1170	1188	10.062	12.971	100.5	26.565	0.61164814	0.0021294376	0.3854123	0.0008100811
2	91	303	1009	9.014	16.919	94.5	33.69	0.88890916	0.0013610896	0.10950862	0.00022123734
2	92	1125	859	26.87	29.698	363.0	45.0	0.54392576	0.00023204487	0.45561916	0.00022299805
2	93	780	673	16.279	37.483	245.5	80.538	0.700708	0.0006433551	0.2984067	0.00024199554
